id	color	no	cname	ename	jname	kana	kname	s_cname	s_ename	area	p_id	p_dis	n_id	n_dis												
trtc-BR13		BR13	松山機場	Songshan Airport	松山空港	まつやまくうこう	송산 공항			台北市松山區	trtc-BR12	1.48	trtc-BR13	2.59												
trtc-BR14		BR14	大直	Dazhi	大直	だいちょく	다즈	實踐大學	Shih Chien University	台北市中山區	trtc-BR13	2.59	trtc-BR14	1.33												
trtc-BR15		BR15	劍南路	Jiannan Road	剣南路	けんなんろ	젠난루	美麗華	Miramar	台北市中山區	trtc-BR14	1.33	trtc-BR15	1.28												
trtc-BR16		BR16	西湖	Xihu	西湖	さいこ	시후	德明科技大學	Takming Univ.	台北市內湖區	trtc-BR15	1.28	trtc-BR16	0.83												
trtc-BR17		BR17	港墘	Gangqian	港墘	こうけん	강첸			台北市內湖區	trtc-BR16	0.83	trtc-BR17	1.01												
trtc-BR18		BR18	文德	Wende	文徳	ぶんとく	원더	碧湖公園	Bihu Park	台北市內湖區	trtc-BR17	1.01	trtc-BR18	1.13												
trtc-BR19		BR19	內湖	Neihu	内湖	ないこ	네이후			台北市內湖區	trtc-BR18	1.13	trtc-BR19	0.87												
trtc-BR20		BR20	大湖公園	Dahu Park	大湖公園	だいここうえん	다후 공원			台北市內湖區	trtc-BR19	0.87	trtc-BR20	1.63												
trtc-BR21		BR21	葫洲	Huzhou	葫洲	こしゅう	후저우			台北市內湖區	trtc-BR20	1.63	trtc-BR21	0.85												
trtc-BR22		BR22	東湖	Donghu	東湖	とうこ	둥후			台北市內湖區	trtc-BR21	0.85	trtc-BR22	1.01												
trtc-BR23		BR23	南港軟體園區	Nangang Software Park	南港ソフトウェアパーク	なんこうそふとうぇあぱーく	난강 소프트웨어 단지			台北市南港區	trtc-BR22	1.01	trtc-BR23	0.65												
trtc-BR24		BR24	南港展覽館	Taipei Nangang Exhibition Center	南港展覧館	なんこうてんらんかん	난강 전람관			台北市南港區	trtc-BR23	0.65														
route	F7DB17		環狀線	Circle Line	環狀線																					
trtc-Y07		Y07	大坪林	Dapinglin	大坪林	だいへいりん	다핑린			新北市新店區			trtc-Y08	1.56												
trtc-Y08		Y08	十四張	Shisizhang	十四張	じゅうよんちょう	스쓰장	莊敬高職	Juang Jing Vocational High School	新北市新店區	trtc-Y07	1.56	trtc-Y09	1.12												
trtc-Y09		Y09	秀朗橋	Xiulang Bridge	秀朗橋	しゅうろうきょう	시우랑챠오			新北市中和區	trtc-Y08	1.12	trtc-Y10	0.85												
trtc-Y10		Y10	景平	Jingping	景平	けいへい	징핑			新北市中和區	trtc-Y09	0.85	trtc-Y11	1.16												
trtc-Y11		Y11	景安	Jingan	景安	けいあん	징안			新北市中和區	trtc-Y10	1.16	trtc-Y12	1.44												
trtc-Y12		Y12	中和	Zhonghe	中和	ちゅうわ	중허			新北市中和區	trtc-Y11	1.44	trtc-Y13	0.64												
trtc-Y13		Y13	橋和	Qiaohe	橋和	はしわ	챠오허			新北市中和區	trtc-Y12	0.64	trtc-Y14	0.73												
trtc-Y14		Y14	中原	Zhongyuan	中原	なかはら	중위엔			新北市中和區	trtc-Y13	0.73	trtc-Y15	1.39												
trtc-Y15		Y15	板新	Banxin	板新	ばんしん	반신			新北市板橋區	trtc-Y14	1.39	trtc-Y16	0.95												
trtc-Y16		Y16	板橋	Banqiao	板橋	ばんきょう	반차오			新北市板橋區	trtc-Y15	0.95	trtc-Y17	1.42												
trtc-Y17		Y17	新埔民生	Xinpu Minsheng	新埔民生	しんほみんせい	신푸민셩			新北市板橋區	trtc-Y16	1.42	trtc-Y18	1.80												
trtc-Y18		Y18	頭前庄	Touqianzhuang	頭前庄	とうぜんしょう	터우첸좡			新北市新莊區	trtc-Y17	1.80	trtc-Y19	0.62												
